year,month,day,hour,runoff,date
2018,10,26,13,2.268,2018-10-26 13:00:00
2018,10,26,14,2.268,2018-10-26 14:00:00
2018,10,26,15,2.269,2018-10-26 15:00:00
2018,10,26,16,2.268,2018-10-26 16:00:00
2018,10,26,17,2.267,2018-10-26 17:00:00
2018,10,26,18,2.264,2018-10-26 18:00:00
2018,10,26,19,2.267,2018-10-26 19:00:00
2018,10,26,20,2.262,2018-10-26 20:00:00
2018,10,26,21,2.262,2018-10-26 21:00:00
2018,10,26,22,2.265,2018-10-26 22:00:00
2018,10,26,23,2.263,2018-10-26 23:00:00
2018,10,26,24,2.264,2018-10-27 00:00:00
2018,10,27,1,2.262,2018-10-27 01:00:00
2018,10,27,2,2.261,2018-10-27 02:00:00
2018,10,27,3,2.263,2018-10-27 03:00:00
2018,10,27,4,2.262,2018-10-27 04:00:00
2018,10,27,5,2.295,2018-10-27 05:00:00
2018,10,27,6,2.459,2018-10-27 06:00:00
2018,10,27,7,2.648,2018-10-27 07:00:00
2018,10,27,8,2.878,2018-10-27 08:00:00
2018,10,27,9,3.375,2018-10-27 09:00:00
2018,10,27,10,4.035,2018-10-27 10:00:00
2018,10,27,11,4.157,2018-10-27 11:00:00
2018,10,27,12,4.287,2018-10-27 12:00:00
2018,10,27,13,4.769,2018-10-27 13:00:00
2018,10,27,14,5.316,2018-10-27 14:00:00
2018,10,27,15,5.97,2018-10-27 15:00:00
2018,10,27,16,8.385,2018-10-27 16:00:00
2018,10,27,17,11.815,2018-10-27 17:00:00
2018,10,27,18,12.425,2018-10-27 18:00:00
2018,10,27,19,21.962,2018-10-27 19:00:00
2018,10,27,20,47.474,2018-10-27 20:00:00
2018,10,27,21,93.995,2018-10-27 21:00:00
2018,10,27,22,123.161,2018-10-27 22:00:00
2018,10,27,23,134.314,2018-10-27 23:00:00
2018,10,27,24,138.322,2018-10-28 00:00:00
2018,10,28,1,132.359,2018-10-28 01:00:00
2018,10,28,2,126.736,2018-10-28 02:00:00
2018,10,28,3,137.591,2018-10-28 03:00:00
2018,10,28,4,151.433,2018-10-28 04:00:00
2018,10,28,5,145.76,2018-10-28 05:00:00
2018,10,28,6,129.105,2018-10-28 06:00:00
2018,10,28,7,114.438,2018-10-28 07:00:00
2018,10,28,8,105.895,2018-10-28 08:00:00
2018,10,28,9,103.714,2018-10-28 09:00:00
2018,10,28,10,115.789,2018-10-28 10:00:00
2018,10,28,11,139.98,2018-10-28 11:00:00
2018,10,28,12,168.111,2018-10-28 12:00:00
2018,10,28,13,178.225,2018-10-28 13:00:00
2018,10,28,14,172.595,2018-10-28 14:00:00
2018,10,28,15,175.474,2018-10-28 15:00:00
2018,10,28,16,185.045,2018-10-28 16:00:00
2018,10,28,17,181.588,2018-10-28 17:00:00
2018,10,28,18,162.464,2018-10-28 18:00:00
2018,10,28,19,141.129,2018-10-28 19:00:00
2018,10,28,20,124.142,2018-10-28 20:00:00
2018,10,28,21,111.985,2018-10-28 21:00:00
2018,10,28,22,103.159,2018-10-28 22:00:00
2018,10,28,23,95.282,2018-10-28 23:00:00
2018,10,28,24,89.338,2018-10-29 00:00:00
2018,10,29,1,87.001,2018-10-29 01:00:00
2018,10,29,2,89.887,2018-10-29 02:00:00
2018,10,29,3,92.803,2018-10-29 03:00:00
2018,10,29,4,92.499,2018-10-29 04:00:00
2018,10,29,5,96.35,2018-10-29 05:00:00
2018,10,29,6,100.46,2018-10-29 06:00:00
2018,10,29,7,107.374,2018-10-29 07:00:00
2018,10,29,8,114.936,2018-10-29 08:00:00
2018,10,29,9,120.753,2018-10-29 09:00:00
2018,10,29,10,118.23,2018-10-29 10:00:00
2018,10,29,11,115.976,2018-10-29 11:00:00
2018,10,29,12,123.429,2018-10-29 12:00:00
2018,10,29,13,136.127,2018-10-29 13:00:00
2018,10,29,14,141.431,2018-10-29 14:00:00
2018,10,29,15,145.251,2018-10-29 15:00:00
2018,10,29,16,155.575,2018-10-29 16:00:00
2018,10,29,17,167.368,2018-10-29 17:00:00
2018,10,29,18,173.579,2018-10-29 18:00:00
2018,10,29,19,183.87,2018-10-29 19:00:00
2018,10,29,20,171.308,2018-10-29 20:00:00
2018,10,29,21,172.09,2018-10-29 21:00:00
2018,10,29,22,194.629,2018-10-29 22:00:00
2018,10,29,23,184.383,2018-10-29 23:00:00
2018,10,29,24,164.543,2018-10-30 00:00:00
2018,10,30,1,153.465,2018-10-30 01:00:00
2018,10,30,2,153.358,2018-10-30 02:00:00
2018,10,30,3,148.547,2018-10-30 03:00:00
2018,10,30,4,136.002,2018-10-30 04:00:00
2018,10,30,5,124.818,2018-10-30 05:00:00
2018,10,30,6,116.199,2018-10-30 06:00:00
2018,10,30,7,110.651,2018-10-30 07:00:00
2018,10,30,8,107.929,2018-10-30 08:00:00
2018,10,30,9,106.594,2018-10-30 09:00:00
2018,10,30,10,106.665,2018-10-30 10:00:00
2018,10,30,11,105.255,2018-10-30 11:00:00
2018,10,30,12,99.853,2018-10-30 12:00:00
2018,10,30,13,92.645,2018-10-30 13:00:00
2018,10,30,14,86.931,2018-10-30 14:00:00
2018,10,30,15,82.047,2018-10-30 15:00:00
2018,10,30,16,77.641,2018-10-30 16:00:00
2018,10,30,17,73.692,2018-10-30 17:00:00
2018,10,30,18,69.534,2018-10-30 18:00:00
2018,10,30,19,65.625,2018-10-30 19:00:00
2018,10,30,20,62.052,2018-10-30 20:00:00
2018,10,30,21,58.773,2018-10-30 21:00:00
2018,10,30,22,55.728,2018-10-30 22:00:00
2018,10,30,23,52.781,2018-10-30 23:00:00
2018,10,30,24,50.31,2018-10-31 00:00:00
2018,10,31,1,48.909,2018-10-31 01:00:00
2018,10,31,2,46.591,2018-10-31 02:00:00
2018,10,31,3,44.965,2018-10-31 03:00:00
2018,10,31,4,42.861,2018-10-31 04:00:00
2018,10,31,5,40.944,2018-10-31 05:00:00
2018,10,31,6,39.106,2018-10-31 06:00:00
2018,10,31,7,37.629,2018-10-31 07:00:00
2018,10,31,8,36.459,2018-10-31 08:00:00
2018,10,31,9,35.223,2018-10-31 09:00:00
2018,10,31,10,33.997,2018-10-31 10:00:00
2018,10,31,11,33.075,2018-10-31 11:00:00
2018,10,31,12,32.295,2018-10-31 12:00:00
